unit,sex,age,isced11,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
PC,T,Y15-24,TOTAL,AT	11.0 b	9.8 	9.4 b	8.5 	10.7 	9.5 	8.9 	9.4 	9.7 	10.3 	10.6 	11.2 
PC,T,Y15-24,TOTAL,BE	21.5 b	20.5 	18.8 	18.0 	21.9 	22.4 	18.7 b	19.8 	23.7 	23.2 	22.1 	20.1 
PC,T,Y15-24,TOTAL,BG	22.3 b	19.5 	15.1 	12.7 b	16.2 	21.9 b	25.0 b	28.1 	28.4 	23.8 	21.6 	17.2 
PC,T,Y15-24,TOTAL,CH	8.8 b	7.7 	7.1 	7.0 	8.5 	8.2 b	7.7 	8.3 	8.7 	8.6 	8.8 	8.6 
PC,T,Y15-24,TOTAL,CY	13.9 b	10.0 	10.2 	9.0 	13.8 b	16.6 	22.4 	27.7 	38.9 	36.0 	32.8 	29.1 
PC,T,Y15-24,TOTAL,CZ	19.2 b	17.5 	10.7 	9.9 	16.6 	18.3 	18.1 b	19.5 	19.0 	15.9 	12.6 	10.5 
PC,T,Y15-24,TOTAL,DE	15.5 b	13.8 	11.9 	10.6 	11.2 	9.8 b	8.5 b	8.0 	7.8 	7.7 	7.2 	7.1 
PC,T,Y15-24,TOTAL,DK	8.6 b	7.7 	7.5 	8.0 	11.8 	14.0 	14.2 	14.1 	13.1 	12.6 	10.8 	12.0 b
PC,T,Y15-24,TOTAL,EA18	17.9 b	16.6 	15.0 	15.5 	19.9 	20.8 	21.1 	23.4 	24.2 	23.8 	22.4 	21.0 
PC,T,Y15-24,TOTAL,EA19	17.9 b	16.6 	15.0 	15.5 	20.0 	20.9 	21.2 	23.4 	24.2 	23.8 	22.4 	20.9 
PC,T,Y15-24,TOTAL,EE	15.1 b	12.1 	10.1 	12.0 	27.4 	32.9 	22.4 	20.9 	18.7 	15.0 	13.1 	13.4 
PC,T,Y15-24,TOTAL,EL	25.8 b	25.0 	22.7 	21.9 	25.7 b	33.0 	44.7 	55.3 	58.3 	52.4 	49.8 	47.3 
PC,T,Y15-24,TOTAL,ES	19.6 b	17.9 	18.1 	24.5 	37.7 	41.5 	46.2 	52.9 	55.5 	53.2 	48.3 	44.4 
PC,T,Y15-24,TOTAL,EU27	18.6 b	17.3 	15.5 	15.6 	19.9 	21.0 	21.6 	23.1 	23.5 	22.0 	20.2 	18.6 
PC,T,Y15-24,TOTAL,EU28	18.7 b	17.4 	15.5 	15.6 	19.9 	21.0 	21.7 	23.2 	23.6 	22.2 	20.3 	18.7 
PC,T,Y15-24,TOTAL,FI	20.1 b	18.7 	16.5 	16.5 b	21.5 	21.4 	20.1 	19.0 	19.9 	20.5 	22.4 	20.1 
PC,T,Y15-24,TOTAL,FR	20.3 b	21.3 	18.8 	18.3 	22.9 	22.5 	21.9 	23.7 	24.1 	24.2 b	24.7 	24.6 
PC,T,Y15-24,TOTAL,HR	32.3 b	28.9 b	25.2 	23.7 	25.2 	32.4 	36.7 	42.1 	50.0 	45.5 	42.3 	31.3 
PC,T,Y15-24,TOTAL,HU	19.4 b	19.1 	18.0 	19.5 	26.4 	26.4 	26.0 	28.2 	26.6 	20.4 	17.3 	12.9 
PC,T,Y15-24,TOTAL,IE	8.6 b	8.6 	9.1 b	13.3 	24.0 b	27.6 	29.1 	30.4 	26.8 	23.9 	20.9 	17.2 
PC,T,Y15-24,TOTAL,IS	7.4 b	8.3 	7.0 	8.2 	15.9 	16.2 	14.4 	13.5 	10.6 	9.8 	8.8 	6.5 
PC,T,Y15-24,TOTAL,IT	24.1 b	21.8 	20.4 	21.2 	25.3 	27.9 	29.2 	35.3 	40.0 	42.7 	40.3 	37.8 
PC,T,Y15-24,TOTAL,LT	15.8 bu	10.0 u	8.4 u	13.3 u	29.6 	35.7 	32.6 	26.7 	21.9 	19.3 	16.3 	14.5 
PC,T,Y15-24,TOTAL,LU	13.7 b	16.2 	15.2 b	17.9 	17.2 b	14.2 	16.8 	18.8 	15.5 	22.6 	17.3 b	18.9 
PC,T,Y15-24,TOTAL,LV	15.1 b	13.6 	10.6 	13.6 	33.3 	36.2 	31.0 	28.5 	23.2 	19.6 	16.3 	17.3 
PC,T,Y15-24,TOTAL,MK	: 	59.7 	57.7 	56.4 	55.1 	53.7 	55.3 	53.9 	51.9 	53.1 	47.3 	48.2 
PC,T,Y15-24,TOTAL,MT	16.1 b	15.5 	13.5 	11.7 	14.5 	13.2 	13.3 	14.1 	13.0 	11.7 	11.8 	11.0 
PC,T,Y15-24,TOTAL,NL	8.2 b	6.6 	5.9 	5.3 	6.6 	8.7 b	10.0 b	11.7 	13.2 	12.7 	11.3 	10.8 
PC,T,Y15-24,TOTAL,NO	11.5 b	8.7 b	7.4 	7.5 	9.2 	9.3 	8.7 	8.5 	9.1 	7.9 	9.9 	11.2 
PC,T,Y15-24,TOTAL,PL	36.9 b	29.8 	21.7 	17.3 	20.6 	23.7 b	25.8 	26.5 	27.3 	23.9 	20.8 	17.7 
PC,T,Y15-24,TOTAL,PT	16.2 b	16.5 	16.7 	16.7 	20.3 	22.8 	30.3 b	37.9 	38.1 	34.8 	32.0 	28.0 
PC,T,Y15-24,TOTAL,RO	20.2 b	21.4 	20.1 	18.6 	20.8 	22.1 b	23.9 	22.6 	23.7 	24.0 	21.7 	20.6 
PC,T,Y15-24,TOTAL,SE	22.8 b	21.5 	19.3 	20.2 	25.0 	24.8 	22.8 	23.6 	23.5 	22.9 	20.4 	18.9 
PC,T,Y15-24,TOTAL,SI	15.9 b	13.9 	10.1 	10.4 	13.6 	14.7 	15.7 	20.6 	21.6 	20.2 	16.3 	15.2 
PC,T,Y15-24,TOTAL,SK	30.1 b	26.6 	20.3 	19.0 	27.3 	33.6 	33.4 b	34.0 	33.7 	29.7 	26.5 	22.2 
PC,T,Y15-24,TOTAL,TR	: 	16.4 	17.2 	18.5 	22.8 	19.7 	16.7 	15.7 	16.9 	17.8 b	18.5 	19.5 
PC,T,Y15-24,TOTAL,UK	12.7 b	13.9 	14.3 b	15.0 b	19.1 	19.9 	21.3 	21.2 	20.7 	17.0 	14.6 	13.0 
PC,T,Y15-74,TOTAL,AT	5.6 b	5.3 	4.9 b	4.1 	5.3 	4.8 	4.6 	4.9 	5.4 	5.6 	5.7 	6.0 
PC,T,Y15-74,TOTAL,BE	8.5 b	8.3 	7.5 	7.0 	7.9 	8.3 	7.2 b	7.6 	8.4 	8.5 	8.5 	7.8 
PC,T,Y15-74,TOTAL,BG	10.1 b	9.0 	6.9 	5.6 b	6.8 	10.3 b	11.3 b	12.3 	13.0 	11.4 	9.2 	7.6 
PC,T,Y15-74,TOTAL,CH	4.5 b	4.0 	3.7 	3.4 	4.1 	4.8 b	4.4 	4.5 	4.8 	4.9 	4.8 	5.0 
PC,T,Y15-74,TOTAL,CY	5.3 b	4.6 	3.9 	3.7 	5.4 b	6.3 	7.9 	11.9 	15.9 	16.1 	15.0 	13.0 
PC,T,Y15-74,TOTAL,CZ	7.9 b	7.2 	5.3 	4.4 	6.7 	7.3 	6.7 b	7.0 	7.0 	6.1 	5.1 	4.0 
PC,T,Y15-74,TOTAL,DE	11.2 b	10.3 	8.7 	7.5 	7.8 	7.0 b	5.8 b	5.4 	5.2 	5.0 	4.6 	4.1 
PC,T,Y15-74,TOTAL,DK	4.8 b	3.9 	3.8 	3.4 	6.0 	7.5 	7.6 	7.5 	7.0 	6.6 	6.2 	6.2 b
PC,T,Y15-74,TOTAL,EA18	9.0 b	8.3 	7.4 	7.5 	9.5 	10.0 	10.1 	11.3 	12.0 	11.6 	10.9 	10.1 
PC,T,Y15-74,TOTAL,EA19	9.0 b	8.3 	7.4 	7.5 	9.5 	10.1 	10.1 	11.3 	12.0 	11.6 	10.9 	10.0 
PC,T,Y15-74,TOTAL,EE	8.0 b	5.9 	4.6 	5.5 	13.5 	16.7 	12.3 	10.0 	8.6 	7.4 	6.2 	6.8 
PC,T,Y15-74,TOTAL,EL	10.0 b	9.0 	8.4 	7.8 	9.6 b	12.7 	17.9 	24.5 	27.5 	26.5 	24.9 	23.6 
PC,T,Y15-74,TOTAL,ES	9.2 b	8.5 	8.2 	11.3 	17.9 	19.9 	21.4 	24.8 	26.1 	24.5 	22.1 	19.6 
PC,T,Y15-74,TOTAL,EU27	8.9 b	8.1 	7.1 	7.0 	8.9 	9.5 	9.6 	10.4 	10.8 	10.2 	9.4 	8.5 
PC,T,Y15-74,TOTAL,EU28	8.9 b	8.2 	7.1 	7.0 	8.9 	9.5 	9.6 	10.4 	10.8 	10.2 	9.4 	8.6 
PC,T,Y15-74,TOTAL,FI	8.4 b	7.7 	6.9 	6.4 b	8.2 	8.4 	7.8 	7.7 	8.2 	8.7 	9.4 	8.8 
PC,T,Y15-74,TOTAL,FR	8.5 b	8.5 	7.7 	7.1 	8.7 	8.9 	8.8 	9.4 	9.9 	10.3 b	10.4 	10.1 
PC,T,Y15-74,TOTAL,HR	12.7 b	11.2 b	9.9 	8.6 	9.2 	11.7 	13.7 	16.0 	17.3 	17.3 	16.2 	13.1 
PC,T,Y15-74,TOTAL,HU	7.2 b	7.5 	7.4 	7.8 	10.0 	11.2 	11.0 	11.0 	10.2 	7.7 	6.8 	5.1 
PC,T,Y15-74,TOTAL,IE	4.4 b	4.4 	4.7 b	6.4 	12.0 b	13.9 	14.7 	14.7 	13.1 	11.3 	9.4 	7.9 
PC,T,Y15-74,TOTAL,IS	2.5 b	2.8 	2.3 	2.9 	7.2 	7.6 	7.0 	6.0 	5.4 	4.9 	4.0 	3.0 
PC,T,Y15-74,TOTAL,IT	7.7 b	6.8 	6.1 	6.7 	7.8 	8.4 	8.4 	10.7 	12.2 	12.7 	11.9 	11.7 
PC,T,Y15-74,TOTAL,LT	8.3 b	5.8 	4.3 	5.8 	13.8 	17.8 	15.4 	13.4 	11.8 	10.7 	9.1 	7.9 
PC,T,Y15-74,TOTAL,LU	4.5 b	4.7 	4.1 b	5.1 	5.1 b	4.4 	4.9 	5.1 	5.9 	5.9 	6.7 b	6.3 
PC,T,Y15-74,TOTAL,LV	10.0 b	7.0 	6.1 	7.7 	17.5 	19.5 	16.2 	15.0 	11.9 	10.8 	9.9 	9.6 
PC,T,Y15-74,TOTAL,MK	: 	36.1 	35.0 	33.8 	32.2 	32.0 	31.4 	31.0 	29.0 	28.0 	26.1 	23.7 
PC,T,Y15-74,TOTAL,MT	6.9 b	6.8 	6.5 	6.0 	6.9 	6.9 	6.4 	6.3 	6.4 	5.8 	5.4 	4.7 
PC,T,Y15-74,TOTAL,NL	4.7 b	3.9 	3.2 	2.8 	3.4 	4.5 b	5.0 b	5.8 	7.3 	7.4 	6.9 	6.0 
PC,T,Y15-74,TOTAL,NO	4.4 b	3.4 b	2.5 	2.5 	3.1 	3.5 	3.2 	3.1 	3.4 	3.5 	4.3 	4.7 
PC,T,Y15-74,TOTAL,PL	17.8 b	13.9 	9.6 	7.1 	8.2 	9.7 b	9.7 	10.1 	10.3 	9.0 	7.5 	6.2 
PC,T,Y15-74,TOTAL,PT	7.7 b	7.8 	8.1 	7.7 	9.6 	11.0 	12.9 b	15.8 	16.4 	14.1 	12.6 	11.2 
PC,T,Y15-74,TOTAL,RO	7.2 b	7.3 	6.4 	5.8 	6.9 	7.0 b	7.2 	6.8 	7.1 	6.8 	6.8 	5.9 
PC,T,Y15-74,TOTAL,SE	7.8 b	7.1 	6.2 	6.2 	8.4 	8.6 	7.8 	8.0 	8.1 	8.0 	7.4 	7.0 
PC,T,Y15-74,TOTAL,SI	6.5 b	6.0 	4.9 	4.4 	5.9 	7.3 	8.2 	8.9 	10.1 	9.7 	9.0 	8.0 
PC,T,Y15-74,TOTAL,SK	16.3 b	13.4 	11.1 	9.5 	12.0 	14.4 	13.6 b	14.0 	14.2 	13.2 	11.5 	9.7 
PC,T,Y15-74,TOTAL,TR	: 	8.8 	8.9 	9.8 	12.6 	10.7 	8.8 	8.2 	8.8 	9.9 b	10.3 	10.9 
PC,T,Y15-74,TOTAL,UK	4.8 b	5.4 	5.3 b	5.6 b	7.6 	7.8 	8.1 	7.9 	7.5 	6.1 	5.3 	4.8 
PC,T,Y20-64,TOTAL,AT	5.2 b	4.9 	4.5 b	3.8 	5.0 	4.6 	4.3 	4.7 	5.1 	5.5 	5.6 	5.8 
PC,T,Y20-64,TOTAL,BE	8.2 b	8.0 	7.2 	6.8 	7.7 	8.0 	6.9 b	7.4 	8.3 	8.4 	8.4 	7.7 
PC,T,Y20-64,TOTAL,BG	9.8 b	8.6 	6.6 	5.4 b	6.6 	10.0 b	11.0 b	12.0 	12.7 	11.3 	9.1 	7.6 
PC,T,Y20-64,TOTAL,CH	4.3 b	3.8 	3.5 	3.2 	4.0 	4.7 b	4.3 	4.4 	4.6 	4.8 	4.7 	4.8 
PC,T,Y20-64,TOTAL,CY	5.2 b	4.5 	3.9 	3.7 	5.4 b	6.2 	7.8 	11.8 	15.8 	16.0 	14.9 	12.9 
PC,T,Y20-64,TOTAL,CZ	7.6 b	6.9 	5.2 	4.3 	6.5 	7.1 	6.5 b	6.8 	6.8 	6.0 	5.0 	3.9 
PC,T,Y20-64,TOTAL,DE	11.2 b	10.2 	8.6 	7.5 	7.7 	7.0 b	5.8 b	5.4 	5.2 	5.0 	4.6 	4.1 
PC,T,Y20-64,TOTAL,DK	4.6 b	3.5 	3.4 	3.0 	5.5 	6.9 	7.0 	7.0 	6.6 	6.2 	5.9 	5.7 b
PC,T,Y20-64,TOTAL,EA18	8.7 b	8.0 	7.2 	7.2 	9.2 	9.8 	9.9 	11.1 	11.8 	11.5 	10.7 	9.9 
PC,T,Y20-64,TOTAL,EA19	8.7 b	8.0 	7.1 	7.2 	9.2 	9.8 	9.9 	11.1 	11.8 	11.5 	10.7 	9.9 
PC,T,Y20-64,TOTAL,EE	7.9 b	5.7 	4.4 	5.2 	13.3 	16.7 	12.2 	10.0 	8.6 	7.3 	6.1 	6.8 
PC,T,Y20-64,TOTAL,EL	9.8 b	8.9 	8.3 	7.7 	9.5 b	12.7 	17.8 	24.3 	27.3 	26.4 	24.9 	23.5 
PC,T,Y20-64,TOTAL,ES	8.7 b	8.0 	7.8 	10.6 	17.2 	19.3 	20.9 	24.3 	25.6 	24.1 	21.7 	19.3 
PC,T,Y20-64,TOTAL,EU27	8.6 b	7.8 	6.8 	6.6 	8.5 	9.2 	9.3 	10.1 	10.5 	10.0 	9.2 	8.3 
PC,T,Y20-64,TOTAL,EU28	8.6 b	7.8 	6.8 	6.6 	8.5 	9.2 	9.3 	10.1 	10.6 	10.0 	9.2 	8.4 
PC,T,Y20-64,TOTAL,FI	7.7 b	7.0 	6.1 	5.6 b	7.4 	7.6 	7.1 	7.0 	7.5 	8.0 	8.8 	8.2 
PC,T,Y20-64,TOTAL,FR	8.1 b	8.0 	7.3 	6.7 	8.3 	8.5 	8.5 	9.0 	9.6 	9.9 b	10.0 	9.7 
PC,T,Y20-64,TOTAL,HR	12.2 b	10.8 b	9.4 	8.1 	8.8 	11.1 	13.2 	15.5 	16.6 	16.5 	15.5 	12.5 
PC,T,Y20-64,TOTAL,HU	7.0 b	7.3 	7.3 	7.7 	9.9 	11.1 	11.0 	10.9 	10.0 	7.6 	6.7 	5.0 
PC,T,Y20-64,TOTAL,IE	4.1 b	4.1 	4.4 b	6.1 	11.7 b	13.6 	14.4 	14.4 	12.9 	11.1 	9.2 	7.7 
PC,T,Y20-64,TOTAL,IS	2.1 b	2.0 	1.6 	2.2 	6.6 	6.8 	6.4 	5.3 	4.8 	4.4 	3.5 	2.8 
PC,T,Y20-64,TOTAL,IT	7.4 b	6.5 	5.8 	6.4 	7.5 	8.1 	8.1 	10.3 	11.9 	12.5 	11.7 	11.5 
PC,T,Y20-64,TOTAL,LT	8.3 b	5.7 	4.2 	5.7 	13.7 	17.8 	15.4 	13.5 	11.9 	10.8 	9.2 	8.0 
PC,T,Y20-64,TOTAL,LU	4.3 b	4.4 	3.8 b	4.9 	4.9 b	4.2 	4.8 	5.0 	5.7 	5.6 	6.3 b	5.9 
PC,T,Y20-64,TOTAL,LV	9.7 b	6.7 	5.8 	7.6 	17.3 	19.3 	16.1 	14.9 	11.9 	10.9 	9.9 	9.8 
PC,T,Y20-64,TOTAL,MK	: 	35.4 	34.3 	33.3 	31.7 	31.6 	31.0 	30.7 	28.5 	27.5 	26.0 	23.4 
PC,T,Y20-64,TOTAL,MT	5.6 b	5.6 	5.4 	4.9 	5.9 	6.0 	5.6 	5.5 	5.7 	5.3 	4.9 	4.3 
PC,T,Y20-64,TOTAL,NL	4.3 b	3.5 	2.8 	2.4 	3.0 	4.0 b	4.4 b	5.2 	6.7 	6.9 	6.4 	5.5 
PC,T,Y20-64,TOTAL,NO	3.8 b	3.0 b	2.1 	2.0 	2.6 	3.1 	2.9 	2.8 	3.0 	3.3 	4.0 	4.3 
PC,T,Y20-64,TOTAL,PL	17.7 b	13.8 	9.6 	7.0 	8.1 	9.5 b	9.5 	10.0 	10.2 	8.9 	7.4 	6.1 
PC,T,Y20-64,TOTAL,PT	7.8 b	7.8 	8.2 	7.7 	9.7 	11.1 	12.8 b	15.8 	16.5 	14.1 	12.5 	11.2 
PC,T,Y20-64,TOTAL,RO	7.0 b	7.0 	6.3 	5.6 	6.7 	7.0 b	7.2 	6.7 	7.1 	6.7 	6.7 	5.7 
PC,T,Y20-64,TOTAL,SE	6.8 b	6.1 	5.1 	5.1 	7.3 	7.6 	6.9 	7.1 	7.1 	7.1 	6.7 	6.3 
PC,T,Y20-64,TOTAL,SI	6.5 b	5.9 	4.8 	4.3 	5.8 	7.3 	8.2 	8.9 	10.2 	9.8 	9.0 	8.1 
PC,T,Y20-64,TOTAL,SK	15.7 b	12.8 	10.7 	9.2 	11.7 	14.0 	13.2 b	13.6 	13.9 	12.9 	11.3 	9.5 
